Repo,Release,Filename,SHA,Revision
en_ta,v6,biblicalimageryta,0a429d39c6bdf913e108701dbf7b4bffb99dffc9,1
en_ta,v7,biblicalimageryta,3c351b5be66862f16e18538b9a91051472cd054c,2
en_ta,v9,biblicalimageryta,e2f2660be20ec6bd5f0e00f957f18b241570282b,3
en_ta,v10,biblicalimageryta,18f7bb80ac1e010499417f10110999e619be98fb,4
en_ta,v11,biblicalimageryta,36567ff7f519cea6dc5176ba6a9cdabfa3795003,5
en_ta,v12,biblicalimageryta,f8b06c385ca4621ee049bab1a1654066b2a691a8,6
en_ta,v13,biblicalimageryta,77ace12c9e986e4e1d12ffa5ab64367f0c727bf0,7
en_ta,v15,biblicalimageryta,ef12f12bf5d367bc0aa3264fb3dd4e44949e5d06,8
en_ta,v16,biblicalimageryta,b00dbc393efc3bcc843d053737e73edcba2aa756,9
en_ta,v18,biblicalimageryta,0dacd8082b2fd8f202dc5b2faf7a088f38c8ffcc,10
en_ta,v20,biblicalimageryta,429e33afff47083dbc427eb3cd67946962d63464,11
en_ta,v7,bita-animals,523f81d998754da879a56e87c1a49f31e75edb47,1
en_ta,v9,bita-animals,0bbcad34ea044b32509a1903dbb89b1317aa6711,2
en_ta,v10,bita-animals,4304e249242cda1b8c89a5fb6e79ceb1bb9893f9,3
en_ta,v11,bita-animals,51c9eec0c9b33908a73bf46c0caff44914dcdb92,4
en_ta,v12,bita-animals,4c5031868a4c601d473ee30c29a98622030be2fc,5
en_ta,v13,bita-animals,43a3a7681cb55ee8acd09baf946ef21376b05b67,6
en_ta,v15,bita-animals,15e53d4d31b81c57631242a13861bcb027ca0383,7
en_ta,v16,bita-animals,5ab42fccd542bb9f8e3b1c3846a274baa3eb5a6e,8
en_ta,v18,bita-animals,65c3e79ceeaf3332afaf0968aef1fac7fde4f5b1,9
en_ta,v20,bita-animals,ee8132d63ff8e7774dd2781c3c47314c07d0a8f3,10
en_ta,v6,bita-farming,357b89dfb86c5ea4358a64053cfd26f06944f317,1
en_ta,v9,bita-farming,3752b7549e51c3fc390f74ff7af90ea778b8388a,2
en_ta,v10,bita-farming,1a4e40d2620d412f74fe9d3535028a4553f7f831,3
en_ta,v11,bita-farming,0c9ed1b0e15df447c386c5de7950a21f387f5e43,4
en_ta,v12,bita-farming,becb2b78ce66eb7f4cc3186cdeae30ccb207db83,5
en_ta,v13,bita-farming,51fd298029648b8375b9449a7dedd7e2320f2a66,6
en_ta,v15,bita-farming,3f4176cdff06e796c45d686e3a8bfb3f77dad874,7
en_ta,v16,bita-farming,f4a05955dd856982b7939566db10f0f5dad71d1d,8
en_ta,v18,bita-farming,14619ea82d70e7885e7dfafc3320ca97d6168fbd,9
en_ta,v20,bita-farming,14f52db613d43f4f60c4fd7306294aebdd59ebbf,10
en_ta,v6,bita-hq,feed3ae9ce86d715879f6119f00fa9c0a9367422,1
en_ta,v7,bita-hq,05e5aac96430a8c936a8b727f678c31ccdcaf021,2
en_ta,v9,bita-hq,ef064b9c99c42e30815f477e9910aff22cf2550f,3
en_ta,v10,bita-hq,b1321c47aff0d004f1e4b3272b9b96e5c540c3f9,4
en_ta,v11,bita-hq,906ee390d2ea6b49e6f601d01b9b6260cb002531,5
en_ta,v12,bita-hq,bad5de1d07e7f92acfbb1c2cda528236ae66f00d,6
en_ta,v13,bita-hq,918c201970eff5f445362ffcb7a1aab1a7871812,7
en_ta,v15,bita-hq,bfecc50fd2dc202d0b28d4ddcbc2a935d52db24f,8
en_ta,v16,bita-hq,cc8cb5515305369c5654c285a179a29cc8359063,9
en_ta,v18,bita-hq,3e35d59b1dd39c8df85ba4389ffd7f8a46f18100,10
en_ta,v6,bita-humanbehavior,b2f847a9b9a8cd40ec014cbd8557ac002c6ac502,1
en_ta,v9,bita-humanbehavior,5f93488b8bd39f1bff0c808c9a63d0612b5c0b6e,2
en_ta,v10,bita-humanbehavior,4245711a09f2e854683faa211eac74ed1614066e,3
en_ta,v11,bita-humanbehavior,62b52df5e442d0e8e8be27f6278640d765379390,4
en_ta,v12,bita-humanbehavior,9fc0194b543d8ce7112797851aa45defcfce9c7d,5
en_ta,v13,bita-humanbehavior,4ba05ed00d8835d40bd91879e55d88371364498a,6
en_ta,v15,bita-humanbehavior,8ff193f058d0fa655385d1790063fd8f9ad44be7,7
en_ta,v16,bita-humanbehavior,8af167347dafc38b810a7c8b9db32e6061f3da1b,8
en_ta,v18,bita-humanbehavior,65b3bac4ab2df40e521598f63e3501eaa1688199,9
en_ta,v6,bita-manmade,38efba0d35f3cc8e1f3140ab7e72e7eaf1b7b010,1
en_ta,v9,bita-manmade,ec04d33834cbb9f1b13c754068445ed1e7d1fa3a,2
en_ta,v10,bita-manmade,4a1ed558d71a81940f3eb379e875222e29a395ab,3
en_ta,v11,bita-manmade,3c5efdd6fc5d54de50270f098c2de6ba2fd1336e,4
en_ta,v12,bita-manmade,daa3f65d258591ca1a4ca90bfb6833dff5500d8e,5
en_ta,v13,bita-manmade,92bd04da1f4792055bfa2ee2c9f5d603ecd8e7f3,6
en_ta,v14,bita-manmade,d52ae32a5b2c040a850b5cfe74c41956f7291abd,7
en_ta,v15,bita-manmade,eb2562777029a4e72f8b2d3a52d79203883b559a,8
en_ta,v16,bita-manmade,a6698bfeb5bad3a4f76b18f14e9ed9bcc53ed93b,9
en_ta,v18,bita-manmade,820805812fa27dc8d78a47cf31e5c60413609cfd,10
en_ta,v6,bita-part1,500d5d9659a6c5d69149bfe7fc2d03d278e38002,1
en_ta,v7,bita-part1,bd45ebf8c307be60c1664cbc75dc9cff1a217d90,2
en_ta,v8,bita-part1,c2e32e832a4fc5631d1d272e9b8a21d22945a60c,3
en_ta,v9,bita-part1,6f48804be23a2005334d195f2b0fcde2e1f436b3,4
en_ta,v10,bita-part1,cc33bfd8647c2d761bce55cae27daa56e6cfabb9,5
en_ta,v11,bita-part1,d95c60b3abc47b52da9fc036863f08903f52f276,6
