Repo,Release,Filename,SHA,Revision
en_tn,v13,en_tn_01-GEN.tsv,172ed8965beb8bb4f034669bf80a2304de3ac9ab,1
en_tn,v14,en_tn_01-GEN.tsv,ed8d669165ab3f422302af37d596017d899a2511,2
en_tn,v15,en_tn_01-GEN.tsv,d5b92046f49121aa92989ed788597787423f2713,3
en_tn,v17,en_tn_01-GEN.tsv,4f78a5ab1502bbf0dfb26e4478eaed8ef159bd47,4
en_tn,v18,en_tn_01-GEN.tsv,614ec809fd09d85cfffc9d515de5ce0391c97fa2,5
en_tn,v20,en_tn_01-GEN.tsv,a57d9c21cd893832659c07737acdaf49162d851c,6
en_tn,v22,en_tn_01-GEN.tsv,9d749338b312cd0a552fcd0fd38d4371b49d8055,7
en_tn,v27,en_tn_01-GEN.tsv,60d5e4aafe553b2b6099e973431dcbc02e1ac5f7,8
en_tn,v29,en_tn_01-GEN.tsv,52dbdb745cd91eecb9961616592c326581dc5147,9
en_tn,v46,en_tn_01-GEN.tsv,b28f3c1fda66c648a15f3bfe337d83c8322a87f5,10
en_tn,v13,en_tn_02-EXO.tsv,eab1086123c2237f6049bd886b895b11e8cdddaa,1
en_tn,v14,en_tn_02-EXO.tsv,e83d595f4cfcf6d6d602929d8a4f194b3ef1bdd2,2
en_tn,v15,en_tn_02-EXO.tsv,e49e0e278cc536f8f8eb107e449a420f65e3e5bc,3
en_tn,v17,en_tn_02-EXO.tsv,1cdf7ea5480dab2738e1b24011722f6781e37a7a,4
en_tn,v29,en_tn_02-EXO.tsv,4f04cc4896701464c090b0559cd4edc8ae725fb9,5
en_tn,v37,en_tn_02-EXO.tsv,9cfacff743548a3d5c802aa66fc0ba956656a0ca,6
en_tn,v38,en_tn_02-EXO.tsv,ea27faefcab27383bdeeda14751ee5399e60e517,7
en_tn,v40,en_tn_02-EXO.tsv,d8345913462c4bfce0e3964d8dbad6879e4d04e9,8
en_tn,v41,en_tn_02-EXO.tsv,d9654ab047045bc0db8bb064f575e693e9c091f0,9
en_tn,v45,en_tn_02-EXO.tsv,47878501c100adcbfbcd22f8bfc47b790acec207,10
en_tn,v46,en_tn_02-EXO.tsv,639b6c9c46fbf4848592bb2846ec2ba422b288eb,11
en_tn,v13,en_tn_03-LEV.tsv,ab93d4db19fdb5dd4743124993386bab83d333f0,1
en_tn,v14,en_tn_03-LEV.tsv,b99ed9c472ba23e640d169966ebcad81ebada3cd,2
en_tn,v17,en_tn_03-LEV.tsv,e07b1f35c04da0ed07f090f27c283bcf72488fbb,3
en_tn,v22,en_tn_03-LEV.tsv,f1a3b477b5dfcbf895a567033e0f88f07c8c6121,4
en_tn,v29,en_tn_03-LEV.tsv,39d856c861206fd9b53d34a2670a396124475339,5
en_tn,v13,en_tn_04-NUM.tsv,14e28b494ad1665ffc7c4f0d9459379ecad9e092,1
en_tn,v14,en_tn_04-NUM.tsv,600224586dafff744bb020db6f20779ac2e115f1,2
en_tn,v15,en_tn_04-NUM.tsv,3a8425b06ad9c7c956803e9554c5d6f16eedac74,3
en_tn,v17,en_tn_04-NUM.tsv,acd0d73669b3929e7313e8548db8ecd7ebb30428,4
en_tn,v22,en_tn_04-NUM.tsv,07f90b11a1fc2778351025eaa9a41f9cb4cc06f1,5
en_tn,v29,en_tn_04-NUM.tsv,dc603e89f8139c837d4daaed131af7f9baf8f457,6
en_tn,v13,en_tn_05-DEU.tsv,308eca2ab65c8bbbc7cdcadc88baec09dbc140f2,1
en_tn,v14,en_tn_05-DEU.tsv,182e7f6a92807a2943167cac748bb84b58923356,2
en_tn,v15,en_tn_05-DEU.tsv,7d2030d81e501e65e4df888d97ab507ab577773b,3
en_tn,v17,en_tn_05-DEU.tsv,b108fc8e4a44d5f04c5161c70a2c79cb9a1c85e7,4
en_tn,v29,en_tn_05-DEU.tsv,f0253229c0773295aab6bcd9c2cc0314133c6223,5
en_tn,v41,en_tn_05-DEU.tsv,e27023f917fe53f7e9958471c5968fd06687aa26,6
en_tn,v46,en_tn_05-DEU.tsv,8bfec0a31d4906b2c5736985a84b7756a28150ea,7
en_tn,v13,en_tn_06-JOS.tsv,0fcb6f6d07621691629d3029557ec78b90153f6a,1
en_tn,v14,en_tn_06-JOS.tsv,31815700adf8af36cac34a3f98512d95d8427743,2
en_tn,v17,en_tn_06-JOS.tsv,247a95cd4a3f1a18a2fd79c553f97992b319e6c2,3
en_tn,v18,en_tn_06-JOS.tsv,a84414e9d41912192a7cc629a21aef9dfaf5cef5,4
en_tn,v19,en_tn_06-JOS.tsv,f54f126d847437146e9085f602e044606d2f44e0,5
en_tn,v22,en_tn_06-JOS.tsv,2d4b2206feaad9df28b618cfb83fe6abf6c16f3d,6
en_tn,v29,en_tn_06-JOS.tsv,4048c61186f46795af3990a52126a3c0d077c917,7
en_tn,v13,en_tn_07-JDG.tsv,1e9fe1d12208dd8cc378ef152c944e15d3fb8580,1
en_tn,v14,en_tn_07-JDG.tsv,78b76aa654be5cf4f7b2638c0c80940f3274559c,2
en_tn,v15,en_tn_07-JDG.tsv,2880e307aa8edbb1360bfc8771dc6c657fa12fcb,3
en_tn,v17,en_tn_07-JDG.tsv,64083b405e749c6863fcc0e84f8d7c7c370f6992,4
en_tn,v27,en_tn_07-JDG.tsv,ea268a24b101098375fd3f20bb62943666034eec,5
en_tn,v29,en_tn_07-JDG.tsv,000045a2cf28d296c20d8a190116cdd2f3d3352d,6
en_tn,v41,en_tn_07-JDG.tsv,adc4b056db740b4e674768202960ed6372c0c557,7
en_tn,v13,en_tn_08-RUT.tsv,45889973b55be2ea0c7c6df2262fe3e34c887f7e,1
en_tn,v14,en_tn_08-RUT.tsv,a6c614c962509f105b00c53b894865bd25f8de3d,2
en_tn,v15,en_tn_08-RUT.tsv,424afb9eefd96a371f4ab64bb280520987237528,3
en_tn,v17,en_tn_08-RUT.tsv,2df16371b036e92b2b2aa515bab4a9148582cae2,4
en_tn,v18,en_tn_08-RUT.tsv,e8558cf3e9b80c2fab88212edc917f4ff9cc067f,5
en_tn,v19,en_tn_08-RUT.tsv,3f8ca69dedbe6857c24a92d4213b5c02996b5834,6
en_tn,v20,en_tn_08-RUT.tsv,77629de2a89d1cf393c895d48d9198aaa095cf71,7
en_tn,v22,en_tn_08-RUT.tsv,40a556b4c8557b3d0abd04889af93896a2e879e2,8
en_tn,v23,en_tn_08-RUT.tsv,79bc845041bdcf069bfe92f14dc777b04bae2103,9
en_tn,v24,en_tn_08-RUT.tsv,b80953a621d299e897b34f3a4ce551e1a518c911,10
